# Movement field manifest
# contract: movement-analysis/v2
# format: <category> <declaringClass> <fieldName> <typeDescriptor>
REF     net.minecraft.client.network.AbstractClientPlayerEntity playerListEntry Lnet/minecraft/client/network/PlayerListEntry
REF     net.minecraft.client.network.ClientPlayerEntity abilityResyncCountdown I
REF     net.minecraft.client.network.ClientPlayerEntity deathTime I
REF     net.minecraft.client.network.ClientPlayerEntity noClip Z
REF     net.minecraft.client.network.ClientPlayerEntity ticksToNextAutoJump I
REF     net.minecraft.client.network.ClientPlayerEntity usingItem Z
REF     net.minecraft.entity.Entity$RemovalReason destroy Z
REF     net.minecraft.entity.Entity blockPos Lnet/minecraft/util/math/BlockPos
REF     net.minecraft.entity.Entity boundingBox Lnet/minecraft/util/math/Box
REF     net.minecraft.entity.Entity dataTracker Lnet/minecraft/entity/data/DataTracker
REF     net.minecraft.entity.Entity dimensions Lnet/minecraft/entity/EntityDimensions
REF     net.minecraft.entity.Entity fireTicks I
REF     net.minecraft.entity.Entity firstUpdate Z
REF     net.minecraft.entity.Entity horizontalCollision Z
REF     net.minecraft.entity.Entity id I
REF     net.minecraft.entity.Entity invulnerable Z
REF     net.minecraft.entity.Entity movementMultiplier Lnet/minecraft/util/math/Vec3d
REF     net.minecraft.entity.Entity noClip Z
REF     net.minecraft.entity.Entity onGround Z
REF     net.minecraft.entity.Entity passengerList Lcom/google/common/collect/ImmutableList
REF     net.minecraft.entity.Entity pistonMovementDelta [D
REF     net.minecraft.entity.Entity pitch F
REF     net.minecraft.entity.Entity portalManager Lnet/minecraft/world/dimension/PortalManager
MOD_REF net.minecraft.entity.Entity pos Lnet/minecraft/util/math/Vec3d
REF     net.minecraft.entity.Entity removalReason Lnet/minecraft/entity/Entity$RemovalReason
REF     net.minecraft.entity.Entity ridingCooldown I
REF     net.minecraft.entity.Entity standingEyeHeight F
REF     net.minecraft.entity.Entity stateAtPos Lnet/minecraft/block/BlockState
REF     net.minecraft.entity.Entity supportingBlockPos Ljava/util/Optional
REF     net.minecraft.entity.Entity touchingWater Z
REF     net.minecraft.entity.Entity vehicle Lnet/minecraft/entity/Entity
REF     net.minecraft.entity.Entity velocity Lnet/minecraft/util/math/Vec3d
REF     net.minecraft.entity.Entity world Lnet/minecraft/world/World
REF     net.minecraft.entity.Entity yaw F
REF     net.minecraft.entity.EntityAttachments points Ljava/util/Map
REF     net.minecraft.entity.EntityDimensions attachments Lnet/minecraft/entity/EntityAttachments
REF     net.minecraft.entity.EntityDimensions height F
REF     net.minecraft.entity.EntityDimensions width F
REF     net.minecraft.entity.EquipmentSlot name Ljava/lang/String
REF     net.minecraft.entity.LivingEntity activeItemStack Lnet/minecraft/item/ItemStack
REF     net.minecraft.entity.LivingEntity age I
REF     net.minecraft.entity.LivingEntity attributes Lnet/minecraft/entity/attribute/AttributeContainer
REF     net.minecraft.entity.LivingEntity dead Z
REF     net.minecraft.entity.LivingEntity equipment Lnet/minecraft/entity/EntityEquipment
REF     net.minecraft.entity.LivingEntity horizontalCollision Z
REF     net.minecraft.entity.LivingEntity interpolator Lnet/minecraft/entity/PositionInterpolator
REF     net.minecraft.entity.LivingEntity itemUseTimeLeft I
REF     net.minecraft.entity.LivingEntity jumping Z
REF     net.minecraft.entity.LivingEntity jumpingCooldown I
REF     net.minecraft.entity.LivingEntity lastDamageTaken F
REF     net.minecraft.entity.LivingEntity noDrag Z
REF     net.minecraft.entity.LivingEntity riptideTicks I
REF     net.minecraft.entity.LivingEntity timeUntilRegen I
REF     net.minecraft.entity.LivingEntity wasInPowderSnow Z
REF     net.minecraft.entity.attribute.EntityAttributeModifier$Operation name Ljava/lang/String
REF     net.minecraft.entity.data.DataTracker$Entry value Ljava/lang/Object
REF     net.minecraft.entity.data.DataTracker entries [Lnet/minecraft/entity/data/DataTracker$Entry
REF     net.minecraft.entity.data.TrackedData id I
REF     net.minecraft.entity.player.PlayerAbilities allowFlying Z
REF     net.minecraft.entity.player.PlayerAbilities flying Z
REF     net.minecraft.entity.player.PlayerAbilities invulnerable Z
REF     net.minecraft.entity.player.PlayerEntity abilities Lnet/minecraft/entity/player/PlayerAbilities
REF     net.minecraft.entity.player.PlayerEntity damageTiltYaw F
REF     net.minecraft.entity.player.PlayerEntity fallDistance D
REF     net.minecraft.entity.player.PlayerEntity gameProfile Lcom/mojang/authlib/GameProfile
REF     net.minecraft.entity.player.PlayerEntity jumping Z
REF     net.minecraft.entity.player.PlayerEntity lastAttackedTicks I
REF     net.minecraft.entity.player.PlayerEntity loaded Z
REF     net.minecraft.entity.player.PlayerEntity remainingLoadTicks I
REF     net.minecraft.entity.player.PlayerEntity riptideAttackDamage F
REF     net.minecraft.entity.player.PlayerPosition deltaMovement Lnet/minecraft/util/math/Vec3d
REF     net.minecraft.entity.player.PlayerPosition position Lnet/minecraft/util/math/Vec3d
REF     net.minecraft.server.network.ServerPlayerEntity seenCredits Z
MOD     net.minecraft.util.Util$4 field_54204 Ljava/lang/String
MOD     net.minecraft.util.Util$4 field_54205 Ljava/lang/String
REF     net.minecraft.util.math.AxisTransformation mappings [I
MOD_REF net.minecraft.util.math.Box maxX D
MOD_REF net.minecraft.util.math.Box maxY D
MOD_REF net.minecraft.util.math.Box maxZ D
MOD_REF net.minecraft.util.math.Box minX D
MOD_REF net.minecraft.util.math.Box minY D
MOD_REF net.minecraft.util.math.Box minZ D
REF     net.minecraft.util.math.Direction$Axis id Ljava/lang/String
REF     net.minecraft.util.math.Direction axis Lnet/minecraft/util/math/Direction$Axis
REF     net.minecraft.util.math.Direction direction Lnet/minecraft/util/math/Direction$AxisDirection
REF     net.minecraft.util.math.Direction id Ljava/lang/String
REF     net.minecraft.util.math.Direction vec3i Lnet/minecraft/util/math/Vec3i
REF     net.minecraft.util.math.DirectionTransformation axisTransformation Lnet/minecraft/util/math/AxisTransformation
REF     net.minecraft.util.math.DirectionTransformation flipX Z
REF     net.minecraft.util.math.DirectionTransformation flipY Z
REF     net.minecraft.util.math.DirectionTransformation flipZ Z
REF     net.minecraft.util.math.DirectionTransformation name Ljava/lang/String
REF     net.minecraft.util.math.GlobalPos dimension Lnet/minecraft/registry/RegistryKey
REF     net.minecraft.util.math.GlobalPos pos Lnet/minecraft/util/math/BlockPos
MOD_REF net.minecraft.util.math.Vec3d x D
MOD_REF net.minecraft.util.math.Vec3d y D
MOD_REF net.minecraft.util.math.Vec3d z D
REF     net.minecraft.util.math.Vec3i x I
REF     net.minecraft.util.math.Vec3i y I
